Name,Enabled_by_default,Description,Remediation
access-to-create-pods,No,"Indicates when a subject (Group/User/ServiceAccount) has create access to Pods. CIS Benchmark 5.1.4: The ability to create pods in a cluster opens up possibilities for privilege escalation and should be restricted, where possible.","Where possible, remove create access to pod objects in the cluster."
access-to-secrets,No,Indicates when a subject (Group/User/ServiceAccount) has access to Secrets. CIS Benchmark 5.1.2: Access to secrets should be restricted to the smallest possible group of users to reduce the risk of privilege escalation.,"Where possible, remove get, list and watch access to secret objects in the cluster."
cluster-admin-role-binding,No,CIS Benchmark 5.1.1 Ensure that the cluster-admin role is only used where required,Create and assign a separate role that has access to specific resources/actions needed for the service account.
dangling-horizontalpodautoscaler,No,Indicates when HorizontalPodAutoscalers target a missing resource.,Confirm that your HorizontalPodAutoscaler's scaleTargetRef correctly matches one of your deployments.
dangling-ingress,No,Indicates when ingress do not have any associated services.,Confirm that your ingress's backend correctly matches the name and port on one of your services.
dangling-networkpolicy,No,Indicates when networkpolicies do not have any associated deployments.,Confirm that your networkPolicy's podselector correctly matches the labels on one of your deployments.
dangling-networkpolicypeer-podselector,No,Indicates when NetworkPolicyPeer in Egress/Ingress rules -in the Spec of NetworkPolicy- do not have any associated deployments. Applied on peer specified with podSelectors only.,Confirm that your NetworkPolicy's Ingress/Egress peer's podselector correctly matches the labels on one of your deployments.
dangling-service,Yes,Indicates when services do not have any associated deployments.,Confirm that your service's selector correctly matches the labels on one of your deployments.
dangling-servicemonitor,No,Indicates when a service monitor's selectors don't match any service. ServiceMonitors are a custom resource only used by the Prometheus operator (https://prometheus-operator.dev/docs/operator/design/#servicemonitor).,Check selectors and your services.
default-service-account,No,Indicates when pods use the default service account.,Create a dedicated service account for your pod. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/configure-service-account/ for details.
deprecated-service-account-field,Yes,Indicates when deployments use the deprecated serviceAccount field.,"Use the serviceAccountName field instead. If you must specify serviceAccount, ensure values for serviceAccount and serviceAccountName match."
dnsconfig-options,No,Alert on deployments that have no specified dnsConfig options,Specify dnsconfig options in your Pod specification to ensure the expected DNS setting on the Pod. Refer to https://kubernetes.io/docs/concepts/services-networking/dns-pod-service/#pod-dns-config for details.
docker-sock,Yes,Alert on deployments with docker.sock mounted in containers.,Ensure the Docker socket is not mounted inside any containers by removing the associated  Volume and VolumeMount in deployment yaml specification. If the Docker socket is mounted inside a container it could allow processes running within  the container to execute Docker commands which would effectively allow for full control of the host.
drop-net-raw-capability,Yes,Indicates when containers do not drop NET_RAW capability,"NET_RAW makes it so that an application within the container is able to craft raw packets, use raw sockets, and bind to any address. Remove this capability in the containers under containers security contexts."
duplicate-env-var,Yes,Check that duplicate named env vars aren't passed to a deployment like.,Confirm that your DeploymentLike doesn't have duplicate env vars names.
env-var-secret,Yes,Indicates when objects use a secret in an environment variable.,"Do not use raw secrets in environment variables. Instead, either mount the secret as a file or use a secretKeyRef. Refer to https://kubernetes.io/docs/concepts/configuration/secret/#using-secrets for details."
exposed-services,No,Alert on services for forbidden types,Ensure containers are not exposed through a forbidden service type such as NodePort or LoadBalancer.
host-ipc,Yes,Alert on pods/deployment-likes with sharing host's IPC namespace,Ensure the host's IPC namespace is not shared.
host-network,Yes,Alert on pods/deployment-likes with sharing host's network namespace,Ensure the host's network namespace is not shared.
host-pid,Yes,Alert on pods/deployment-likes with sharing host's process namespace,Ensure the host's process namespace is not shared.
hpa-minimum-three-replicas,No,Indicates when a HorizontalPodAutoscaler specifies less than three minReplicas,Increase the number of replicas in the HorizontalPodAutoscaler to at least three to increase fault tolerance.
invalid-target-ports,Yes,Indicates when deployments or services are using port names that are violating specifications.,"Ensure that port naming is in conjunction with the specification. For more information, please look at the Kubernetes Service specification on this page: https://kubernetes.io/docs/reference/_print/#ServiceSpec. And additional information about IANA Service naming can be found on the following page: https://www.rfc-editor.org/rfc/rfc6335.html#section-5.1."
job-ttl-seconds-after-finished,Yes,Indicates when standalone jobs do not set ttlSecondsAfterFinished and when jobs managed by cronjob do set ttlSecondsAfterFinished.,Set Job.spec.ttlSecondsAfterFinished. Unset CronJob.Spec.JobTemplate.Spec.ttlSecondsAfterFinished.
latest-tag,Yes,Indicates when a deployment-like object is running a container with an invalid container image,Use a container image with a specific tag other than latest.
liveness-port,Yes,Indicates when containers have a liveness probe to a not exposed port.,Check which ports you've exposed and ensure they match what you have specified in the liveness probe.
minimum-three-replicas,No,Indicates when a deployment uses less than three replicas,Increase the number of replicas in the deployment to at least three to increase the fault tolerance of the deployment.
mismatching-selector,Yes,Indicates when deployment selectors fail to match the pod template labels.,Confirm that your deployment selector correctly matches the labels in its pod template.
no-anti-affinity,Yes,"Indicates when deployments with multiple replicas fail to specify inter-pod anti-affinity, to ensure that the orchestrator attempts to schedule replicas on different nodes.","Specify anti-affinity in your pod specification to ensure that the orchestrator attempts to schedule replicas on different nodes. Using podAntiAffinity, specify a labelSelector that matches pods for the deployment, and set the topologyKey to kubernetes.io/hostname. Refer to https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/#inter-pod-affinity-and-anti-affinity for details."
no-extensions-v1beta,Yes,Indicates when objects use deprecated API versions under extensions/v1beta.,Migrate using the apps/v1 API versions for the objects. Refer to https://kubernetes.io/blog/2019/07/18/api-deprecations-in-1-16/ for details.
no-liveness-probe,No,Indicates when containers fail to specify a liveness probe.,Specify a liveness probe in your container. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/ for details.
no-node-affinity,No,Alert on deployments that have no node affinity defined,Specify node-affinity in your pod specification to ensure that the orchestrator attempts to schedule replicas on specified nodes. Refer to https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/#node-affinity for details.
no-read-only-root-fs,Yes,Indicates when containers are running without a read-only root filesystem.,Set readOnlyRootFilesystem to true in the container securityContext.
no-readiness-probe,No,Indicates when containers fail to specify a readiness probe.,Specify a readiness probe in your container. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/ for details.
no-rolling-update-strategy,No,Indicates when a deployment doesn't use a rolling update strategy,Use a rolling update strategy to avoid service disruption during an update. A rolling update strategy allows for pods to be systematicaly replaced in a controlled fashion to ensure no service disruption.
non-existent-service-account,Yes,Indicates when pods reference a service account that is not found.,"Create the missing service account, or refer to an existing service account."
non-isolated-pod,No,Alert on deployment-like objects that are not selected by any NetworkPolicy.,Ensure pod does not accept unsafe traffic by isolating it with a NetworkPolicy. See https://cloud.redhat.com/blog/guide-to-kubernetes-ingress-network-policies for more details.
pdb-max-unavailable,Yes,Indicates when a PodDisruptionBudget has a maxUnavailable value that will always prevent disruptions of pods created by related deployment-like objects.,Change the PodDisruptionBudget to have maxUnavailable set to a value greater than 0. Refer to https://kubernetes.io/docs/tasks/run-application/configure-pdb/ for more information.
pdb-min-available,Yes,Indicates when a PodDisruptionBudget sets a minAvailable value that will always prevent disruptions of pods created by related deployment-like objects.,Change the PodDisruptionBudget to have minAvailable set to a number lower than the number of replicas in the related deployment-like objects. Refer to https://kubernetes.io/docs/tasks/run-application/configure-pdb/ for more information.
pdb-unhealthy-pod-eviction-policy,Yes,Indicates when a PodDisruptionBudget does not explicitly set the unhealthyPodEvictionPolicy field.,Set unhealthyPodEvictionPolicy to AlwaysAllow. Refer to https://kubernetes.io/docs/tasks/run-application/configure-pdb/#unhealthy-pod-eviction-policy for more information.
priority-class-name,No,Indicates when a deployment-like object does not use a valid priority class name,Set up the priority class name for your object to any accepted values.
privilege-escalation-container,Yes,Alert on containers of allowing privilege escalation that could gain more privileges than its parent process.,"Ensure containers do not allow privilege escalation by setting allowPrivilegeEscalation=false, privileged=false and removing CAP_SYS_ADMIN capability. See https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for more details."
privileged-container,Yes,Indicates when deployments have containers running in privileged mode.,Do not run your container as privileged unless it is required.
privileged-ports,No,Alert on deployments with privileged ports mapped in containers,"Ensure privileged ports [0, 1024] are not mapped within containers."
