Reference_ID,Name,Severity,Category,Resource_Type,Description,File_Path
AC_K8S_0132,loopbackAddressUsed,LOW,Infrastructure Security,kubernetes_endpoint_slice,Ensure endpoint slice is not created or updated with loopback addresses as this acts as an attack vector for exploiting CVE-2021-25737 by an authorized user,pkg\policies\opa\rego\k8s\kubernetes_endpoint_slice\AC_K8S_0113.json
AC_K8S_0002,noHttps,MEDIUM,Infrastructure Security,kubernetes_ingress,TLS disabled can affect the confidentiality of the data in transit,pkg\policies\opa\rego\k8s\kubernetes_ingress\AC-K8-NS-IN-H-0020.json
AC_K8S_0013,noOwnerLabel,LOW,Security Best Practices,kubernetes_namespace,No owner for namespace affects the operations,pkg\policies\opa\rego\k8s\kubernetes_namespace\AC-K8-OE-NS-L-0128.json
AC_K8S_0085,privilegeEscalationCheck,HIGH,Compliance Validation,kubernetes_pod,Containers Should Not Run with AllowPrivilegeEscalation,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-CA-PO-H-0165.json
AC_K8S_0130,disAllowedVolumes,MEDIUM,Data Protection,kubernetes_pod,"Vulnerable to CVE-2020-8555 (affected version of kube-controller-manager: v1.18.0, v1.17.0 - v1.17.4, v1.16.0 - v1.16.8, and v1.15.11",pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-DS-PO-M-0143.json
AC_K8S_0067,kubeDashboardEnabled,MEDIUM,Data Protection,kubernetes_pod,Ensure Kubernetes Dashboard Is Not Deployed,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-DS-PO-M-0176.json
AC_K8S_0071,tillerDeployed,MEDIUM,Data Protection,kubernetes_pod,Ensure That Tiller (Helm V2) Is Not Deployed,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-DS-PO-M-0177.json
AC_K8S_0046,privilegedContainersEnabled,HIGH,Identity and Access Management,kubernetes_pod,Minimize the admission of privileged containers,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0106.json
AC_K8S_0074,disallowedSysCalls,MEDIUM,Identity and Access Management,kubernetes_pod,Allowing the pod to make system level calls provide access to host/node sensitive information,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0137.json
AC_K8S_0076,allowedHostPath,HIGH,Identity and Access Management,kubernetes_pod,Allowing hostPaths to mount to Pod arise the probability of getting access to the node's filesystem,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0138.json
AC_K8S_0087,runAsNonRootCheck,HIGH,Identity and Access Management,kubernetes_pod,Minimize Admission of Root Containers,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0168.json
AC_K8S_0045,autoMountTokenEnabled,MEDIUM,Identity and Access Management,kubernetes_pod,Ensure that Service Account Tokens are only mounted where necessary,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0105.json
AC_K8S_0073,appArmorProfile,MEDIUM,Identity and Access Management,kubernetes_pod,AppArmor profile not set to default or custom profile will make the container vulnerable to kernel level threats,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0135.json
AC_K8S_0077,allowedProcMount,MEDIUM,Identity and Access Management,kubernetes_pod,Unmasking the procMount will allow more information than is necessary to the program running in the containers spawned by k8s,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0139.json
AC_K8S_0078,readOnlyFileSystem,MEDIUM,Identity and Access Management,kubernetes_pod,Container images with readOnlyRootFileSystem set as false mounts the container root file system with write permissions,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0140.json
AC_K8S_0080,secCompProfile,MEDIUM,Identity and Access Management,kubernetes_pod,Default seccomp profile not enabled will make the container to make non-essential system calls,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0141.json
AC_K8S_0081,allowedVolumes,MEDIUM,Identity and Access Management,kubernetes_pod,"Some volume types mount the host file system paths to the pod or container, thus increasing the chance of escaping the container to access the host",pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0143.json
AC_K8S_0082,falseHostPID,MEDIUM,Identity and Access Management,kubernetes_pod,Containers Should Not Share Host Process ID Namespace,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0162.json
AC_K8S_0048,netRawCapabilityUsed,MEDIUM,Identity and Access Management,kubernetes_pod,Minimize the admission of containers with the NET_RAW capability,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PS-M-0112.json
AC_K8S_0051,secretsAsEnvVariables,HIGH,Infrastructure Security,kubernetes_pod,Prefer using secrets as files over secrets as environment variables,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-H-0117.json
