ID,Checkov_Policy,Kube_Linter_Policy,Terrascan_Policy,Remediation
1,Do not admit containers wishing to share the host process ID namespace,Alert on pods/deployment-likes with sharing host's process namespace,Containers Should Not Share Host Process ID Namespace,Ensure the host's process namespace is not shared.
2,Do not admit containers wishing to share the host IPC namespace,Alert on pods/deployment-likes with sharing host's IPC namespace,Containers Should Not Share Host IPC Namespace,Ensure the host's IPC namespace is not shared.
3,Do not admit containers wishing to share the host network namespace,Alert on pods/deployment-likes with sharing host's network namespace,Containers Should Not Share the Host Network Namespace,Ensure the host's network namespace is not shared.
4,Containers should not run with allowPrivilegeEscalation,Alert on containers of allowing privilege escalation that could gain more privileges than its parent process.,Containers Should Not Run with AllowPrivilegeEscalation,"Ensure containers do not allow privilege escalation by setting allowPrivilegeEscalation=false, privileged=false and removing CAP_SYS_ADMIN capability. See https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for more details."
5,Do not admit privileged containers,Indicates when deployments have containers running in privileged mode.,Minimize the admission of privileged containers,Do not run your container as privileged unless it is required.
6,Container should not be privileged,Indicates when deployments have containers running in privileged mode.,Minimize the admission of privileged containers,Do not run your container as privileged unless it is required.
7,Do not admit root containers,Indicates when containers are not set to runAsNonRoot.,Minimize Admission of Root Containers,Set runAsUser to a non-zero number and runAsNonRoot to true in your pod or container securityContext. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for details.
8,Minimize the admission of root containers,Indicates when containers are not set to runAsNonRoot.,Minimize Admission of Root Containers,Set runAsUser to a non-zero number and runAsNonRoot to true in your pod or container securityContext. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for details.
9,Do not admit containers with the NET_RAW capability,Indicates when containers do not drop NET_RAW capability,Minimize the admission of containers with the NET_RAW capability,"NET_RAW makes it so that an application within the container is able to craft raw packets, use raw sockets, and bind to any address. Remove this capability in the containers under containers security contexts."
10,Minimize the admission of containers with the NET_RAW capability,Indicates when containers do not drop NET_RAW capability,Minimize the admission of containers with the NET_RAW capability,"NET_RAW makes it so that an application within the container is able to craft raw packets, use raw sockets, and bind to any address. Remove this capability in the containers under containers security contexts."
11,Liveness Probe Should be Configured,Indicates when containers fail to specify a liveness probe.,No liveness probe will ensure there is no recovery in case of unexpected errors,Specify a liveness probe in your container. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/ for details.
12,Readiness Probe Should be Configured,Indicates when containers fail to specify a readiness probe.,No readiness probe will affect automatic recovery in case of unexpected errors,Specify a readiness probe in your container. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/ for details.
13,CPU limits should be set,Indicates when containers do not have CPU requests and limits set.,CPU Limits Not Set in config file.,Set CPU requests for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.
14,CPU requests should be set,Indicates when containers do not have CPU requests and limits set.,CPU Request Not Set in config file.,Set CPU requests for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.
15,Memory limits should be set,Indicates when containers do not have memory requests and limits set.,Memory Limits Not Set in config file.,Set memory limits for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.
16,Memory requests should be set,Indicates when containers do not have memory requests and limits set.,Memory Request Not Set in config file.,Set memory limits for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.
17,Image Tag should be fixed - not latest or blank,Indicates when a deployment-like object is running a container with an invalid container image,No tag or container image with :Latest tag makes difficult to rollback and track,Use a container image with a specific tag other than latest.
18,The default namespace should not be used,Indicates when a resource is deployed to the default namespace.   CIS Benchmark 5.7.1: Create administrative boundaries between resources using namespaces. CIS Benchmark 5.7.4: The default namespace should not be used.,Default Namespace Should Not be Used,Create namespaces for objects in your deployment.
19,Use read-only filesystem for containers where possible,Indicates when containers are running without a read-only root filesystem.,Container images with readOnlyRootFileSystem set as false mounts the container root file system with write permissions,Set readOnlyRootFilesystem to true in the container securityContext.
20,Do not expose the docker daemon socket to containers,Alert on deployments with docker.sock mounted in containers.,Restrict Mounting Docker Socket in a Container,Ensure the Docker socket is not mounted inside any containers by removing the associated  Volume and VolumeMount in deployment yaml specification. If the Docker socket is mounted inside a container it could allow processes running within  the container to execute Docker commands which would effectively allow for full control of the host.
21,Prefer using secrets as files over secrets as environment variables,"Indicates when a deployment reads secret from environment variables. CIS Benchmark 5.4.1: ""Prefer using secrets as files over secrets as environment variables. """,Prefer using secrets as files over secrets as environment variables,"If possible, rewrite application code to read secrets from mounted secret files, rather than from environment variables. Refer to https://kubernetes.io/docs/concepts/configuration/secret/#using-secrets for details."
